Date,FTSE_Return,SP500_Return
31/5/2016,,
30/6/2016,4.39%,0.09%
29/7/2016,3.38%,3.56%
31/8/2016,0.85%,-0.12%
30/9/2016,1.74%,-0.12%
31/10/2016,0.80%,-1.94%
30/11/2016,-2.45%,3.42%
30/12/2016,5.29%,1.82%
31/1/2017,-0.61%,1.79%
28/2/2017,2.31%,3.72%
31/3/2017,0.82%,-0.04%
28/4/2017,-1.62%,0.91%
31/5/2017,4.39%,1.16%
30/6/2017,-2.76%,0.48%
31/7/2017,0.81%,1.93%
31/8/2017,0.80%,0.05%
29/9/2017,-0.78%,1.93%
31/10/2017,1.63%,2.22%
30/11/2017,-2.22%,2.81%
29/12/2017,4.93%,0.98%
31/1/2018,-2.01%,5.62%
28/2/2018,-4.00%,-3.89%
30/3/2018,-2.42%,-2.69%
30/4/2018,6.42%,0.27%
31/5/2018,2.25%,2.16%
29/6/2018,-0.54%,0.48%
31/7/2018,1.46%,3.60%
31/8/2018,-4.08%,3.03%
28/9/2018,1.05%,0.43%
31/10/2018,-5.09%,-6.94%
30/11/2018,-2.07%,1.79%
31/12/2018,-3.61%,-9.18%
31/1/2019,3.58%,7.87%
28/2/2019,1.52%,2.97%
29/3/2019,2.89%,1.79%
30/4/2019,1.91%,3.93%
31/5/2019,-3.46%,-6.58%
28/6/2019,3.69%,6.89%
31/7/2019,2.17%,1.31%
30/8/2019,-5.00%,-1.81%
30/9/2019,2.79%,1.72%
31/10/2019,-2.16%,2.04%
29/11/2019,1.35%,3.40%
31/12/2019,2.67%,2.86%
31/1/2020,-3.40%,-0.16%
28/2/2020,-9.68%,-8.41%
31/3/2020,-13.81%,-12.51%
30/4/2020,4.04%,12.68%
29/5/2020,2.97%,4.53%
30/6/2020,1.53%,1.84%
31/7/2020,-4.41%,5.51%
31/8/2020,1.12%,7.01%
30/9/2020,-1.63%,-3.92%
30/10/2020,-4.92%,-2.77%
30/11/2020,12.35%,10.75%
31/12/2020,3.10%,3.71%
29/1/2021,-0.82%,-1.11%
26/2/2021,1.19%,2.61%
31/3/2021,3.55%,4.24%
30/4/2021,3.82%,5.24%
31/5/2021,0.76%,0.55%
30/6/2021,0.21%,2.22%
30/7/2021,-0.07%,2.27%
31/8/2021,1.24%,2.90%
30/9/2021,-0.47%,-4.76%
29/10/2021,2.13%,6.91%
30/11/2021,-2.46%,-0.83%
31/12/2021,4.61%,4.36%
31/1/2022,1.08%,-5.26%
28/2/2022,-0.08%,-3.14%
31/3/2022,0.77%,3.58%
29/4/2022,0.38%,-8.80%
31/5/2022,0.84%,0.01%
30/6/2022,-5.76%,-8.39%
29/7/2022,3.54%,9.11%
31/8/2022,-1.88%,-4.24%
30/9/2022,-5.36%,-9.34%
31/10/2022,2.91%,7.99%
30/11/2022,6.74%,5.38%
30/12/2022,-1.60%,-5.90%
31/1/2023,4.29%,6.18%
28/2/2023,1.35%,-2.61%
31/3/2023,-3.10%,3.51%
28/4/2023,3.13%,1.46%
31/5/2023,-5.39%,0.25%
30/6/2023,1.15%,6.47%
31/7/2023,2.23%,3.11%
31/8/2023,-3.38%,-1.77%
29/9/2023,2.27%,-4.87%
31/10/2023,-3.76%,-2.20%
30/11/2023,1.80%,8.92%
29/12/2023,3.75%,4.42%
31/1/2024,-1.33%,1.59%
29/2/2024,-0.01%,5.17%
29/3/2024,4.23%,3.10%
30/4/2024,2.41%,-4.16%
31/5/2024,1.61%,4.80%
28/6/2024,-1.34%,3.47%
31/7/2024,2.50%,1.13%
30/8/2024,0.10%,2.28%
30/9/2024,-1.67%,2.02%
31/10/2024,-1.54%,-0.99%
29/11/2024,2.18%,5.73%
31/12/2024,-1.38%,-2.50%
31/1/2025,6.13%,2.70%
28/2/2025,1.57%,-1.42%
31/3/2025,-2.58%,-5.75%
30/4/2025,-1.02%,-0.76%
30/5/2025,3.27%,6.15%
30/6/2025,-0.13%,4.96%
31/7/2025,4.24%,2.17%
29/8/2025,0.60%,1.91%
30/9/2025,1.78%,3.53%
31/10/2025,3.92%,2.27%
28/11/2025,0.03%,0.13%
31/12/2025,2.17%,-0.05%
30/1/2026,2.94%,1.37%
27/2/2026,6.72%,-0.87%
31/3/2026,-6.73%,-5.09%
30/4/2026,1.99%,10.42%
